共享单车编号,纬度,经度,使用次数,最后使用时间
bike_166,31.216906722695644,121.4509342784479,24,2025-04-29 12:19:53.503849
bike_167,31.22307445092287,121.43780128801373,9,2025-04-29 13:12:18.948871
bike_168,31.20992833918923,121.44938460682859,26,2025-04-27 10:26:41.477657
bike_169,31.215382149743853,121.45373686860364,38,2025-04-30 14:33:26.994566
bike_170,31.20949884449712,121.45577643676472,42,2025-05-03 06:40:21.764980
bike_171,31.21260918906037,121.44745646904924,30,2025-05-02 05:13:45.609636
bike_172,31.215479813847733,121.44498740575452,37,2025-05-02 18:31:07.266905
bike_173,31.220200859118286,121.44639597592614,32,2025-04-30 16:29:52.823530
bike_174,31.217395317115358,121.44569272816098,36,2025-05-01 09:58:33.674981
bike_175,31.207782643717326,121.4599214794703,17,2025-04-30 19:26:11.453783
bike_176,31.212050012532394,121.44331489893136,36,2025-04-29 02:22:04.162776
bike_177,31.222365013260315,121.44024865636378,12,2025-04-26 19:53:04.862192
bike_178,31.213406928402872,121.44837344936494,33,2025-04-27 09:19:19.990420
bike_179,31.22099065302853,121.4509432535458,26,2025-05-03 07:26:59.984571
bike_180,31.22286176061499,121.45263705364344,12,2025-04-29 00:48:01.794892
bike_181,31.21301726706216,121.44900732962894,17,2025-05-01 13:28:37.951164
bike_182,31.216635626688937,121.45207727107447,20,2025-05-01 13:11:00.824771
bike_183,31.226159409805867,121.45468600269795,25,2025-05-03 09:22:39.145070
bike_184,31.218766226640827,121.45237819347055,39,2025-04-29 06:20:16.825053
bike_185,31.21111275011985,121.4536495267469,28,2025-04-30 18:51:27.240358
bike_186,31.220164505817234,121.4479739519105,30,2025-05-02 07:17:21.240819
bike_187,31.214391474146183,121.45209083661346,15,2025-04-30 17:49:23.434870
bike_188,31.219036649626997,121.44648187856843,16,2025-04-28 10:25:30.458788
bike_189,31.219001374373676,121.44233017620944,50,2025-04-26 21:50:14.795899
bike_190,31.21460877138523,121.44680625589808,37,2025-05-03 05:59:09.862158
bike_191,31.219169373899323,121.44350214488405,29,2025-04-29 06:57:18.867218
bike_192,31.21283769544876,121.45684441143041,22,2025-05-02 17:18:58.798748
bike_193,31.217030766671307,121.4494237834371,49,2025-04-30 10:10:25.847855
bike_194,31.21589521631452,121.45463680447627,24,2025-04-27 20:55:22.698643
bike_195,31.210692634901356,121.45574545733571,12,2025-05-02 19:50:20.584295
bike_196,31.221852215590747,121.45072587765348,36,2025-05-02 04:07:21.026881
bike_197,31.2214543829678,121.45169607314342,38,2025-04-28 20:32:57.242056
bike_198,31.219224849376218,121.45526765557173,34,2025-05-01 17:16:50.210485
bike_199,31.208498780269178,121.4508085202623,38,2025-05-03 05:31:18.894394
bike_200,31.216800777848896,121.44569276209694,40,2025-04-26 23:55:34.603279
bike_201,31.221776886765344,121.45069596593044,25,2025-04-27 15:58:01.343477
bike_202,31.22056412664051,121.4515786486837,25,2025-05-01 20:35:00.077451
bike_203,31.210919115206533,121.45748767894517,27,2025-05-01 06:15:21.825923
bike_204,31.216806463181765,121.45833293422075,31,2025-05-01 05:40:27.908470
bike_205,31.22047036469852,121.45251320582595,16,2025-05-03 07:07:31.829558
bike_206,31.21905905688196,121.45150946474536,40,2025-04-26 21:27:41.278182
bike_207,31.222247394330623,121.44768088584833,24,2025-04-29 01:48:14.118089
bike_208,31.203708481682238,121.44887053219198,44,2025-04-30 12:26:12.707266
bike_209,31.211768386440813,121.45506633450889,26,2025-05-01 10:58:07.280091
bike_210,31.212107604994365,121.44607734096522,22,2025-05-03 04:09:11.462150
bike_211,31.206463148072128,121.44506106564074,19,2025-04-26 19:37:52.899189
bike_212,31.219544655759954,121.45601965679137,27,2025-04-26 20:30:35.496160
bike_213,31.227680153354697,121.44777856023124,41,2025-04-29 21:05:35.411779
bike_214,31.224237082366606,121.44790934487773,24,2025-05-01 22:10:59.363996
bike_215,31.218908423661702,121.44798369231687,25,2025-04-26 16:24:56.152533
bike_216,31.21529096509954,121.45820056603893,24,2025-04-28 14:17:36.153443
bike_217,31.217849632525343,121.44921528154387,22,2025-04-29 17:00:47.292276
bike_218,31.212613439263034,121.45883557080563,47,2025-05-02 19:51:18.183984
bike_219,31.21431886445217,121.45401704667977,35,2025-04-29 14:40:50.885498
bike_220,31.221549587847193,121.45021330866152,22,2025-04-30 20:36:47.408153
bike_221,31.220552043760463,121.44634462584196,21,2025-05-01 22:14:02.622703
bike_222,31.216090149204916,121.4485099883038,32,2025-04-27 12:13:19.481625
bike_223,31.198727495433868,121.44674692858827,42,2025-05-01 00:47:34.414303
bike_224,31.21784721483275,121.45450750224711,48,2025-05-01 14:21:50.725444
bike_225,31.217331653266093,121.45262581640087,39,2025-04-27 09:31:09.890502
bike_226,31.218239964197227,121.45520045570497,35,2025-04-28 14:02:58.683224
bike_227,31.22117414370156,121.4587564888052,23,2025-04-27 07:14:18.788078
bike_228,31.21853435011472,121.4502624543974,31,2025-05-01 02:55:29.540186
bike_229,31.212683837972264,121.45357282238679,34,2025-04-29 21:58:12.937863
bike_230,31.21813359972386,121.45205354013908,30,2025-04-29 01:04:48.602102
bike_231,31.219898060923054,121.44434680273926,44,2025-05-02 17:15:07.532879
bike_232,31.21719969169981,121.45234496321754,45,2025-04-26 17:26:31.859308
bike_233,31.2221764492982,121.44389057355866,31,2025-05-02 23:49:41.569895
bike_234,31.218174101319555,121.45646620354829,19,2025-05-02 23:54:35.779474
bike_235,31.207081745072763,121.4559231196043,25,2025-04-27 08:48:23.962881
bike_236,31.2167705530645,121.44830343556262,33,2025-04-28 03:50:11.842344
bike_237,31.215476347542673,121.44092184359586,37,2025-04-30 08:18:47.466425
bike_238,31.221531884579278,121.44385797529691,8,2025-05-02 07:44:09.736185
bike_239,31.21937472125127,121.45603458929527,41,2025-05-01 13:19:02.061313
bike_240,31.22268425870113,121.45434905068878,29,2025-04-30 12:42:38.341965
bike_241,31.209995240673063,121.45939872956622,38,2025-05-01 20:35:32.877599
bike_242,31.21509870373551,121.44484034767802,44,2025-04-27 10:00:45.553739
bike_243,31.218659048630723,121.45095342037811,32,2025-04-28 00:45:23.646674
bike_244,31.214981257399685,121.45394688120014,34,2025-04-28 03:22:22.113520
bike_245,31.21140969568995,121.45271427361352,42,2025-04-30 02:19:44.705047
bike_246,31.218588562412766,121.44771608328868,48,2025-05-02 01:32:12.068534
bike_247,31.21242737753783,121.45102659964203,14,2025-04-27 21:14:05.679177
bike_248,31.218955044890347,121.44886712763291,11,2025-05-03 09:16:21.320706
bike_249,31.21526636518418,121.44765724634848,54,2025-05-01 10:13:31.895639
bike_250,31.21365220868763,121.45502704559223,34,2025-04-28 00:12:35.545159
bike_251,31.216010654692177,121.44824302120078,27,2025-04-26 13:27:55.886834
bike_252,31.2141150920678,121.45108003210353,18,2025-04-29 03:22:28.835126
bike_253,31.218755983470988,121.4600061702511,21,2025-05-01 00:19:10.255247
bike_254,31.216319840743505,121.4460899447495,27,2025-04-29 11:52:40.718213
bike_255,31.22107595326421,121.45421459383226,25,2025-05-02 17:39:26.794404
bike_256,31.213906622970796,121.45809482198192,39,2025-05-03 05:55:06.123847
bike_257,31.22519144019834,121.45288767344245,33,2025-04-27 20:32:04.279597
bike_258,31.219538764979454,121.45634580837557,24,2025-05-02 21:45:55.965145
bike_259,31.216704206408743,121.45584877215397,28,2025-04-28 23:06:13.634183
bike_260,31.222717930711323,121.45977786381481,31,2025-05-02 21:30:39.611106
bike_261,31.210973658343317,121.44845155361125,36,2025-04-29 23:31:40.654927
bike_262,31.221778161765364,121.45973576064948,34,2025-05-01 20:50:39.996681
bike_263,31.21049240347516,121.45391943173911,24,2025-05-03 06:04:30.790904
bike_264,31.21718951442957,121.44981116211187,13,2025-04-27 09:21:18.212967
bike_265,31.22079593499931,121.45546383754208,11,2025-04-30 20:53:25.180385
bike_266,31.21162353584749,121.45222030389178,40,2025-04-30 09:32:14.818712
bike_267,31.21560457995048,121.46000219086382,13,2025-04-29 07:42:35.945505
bike_268,31.213267697454924,121.45848074654761,43,2025-04-28 08:03:42.668281
bike_269,31.218139667105124,121.44766999339357,33,2025-04-30 00:31:19.776658
bike_270,31.2146740896827,121.45381604557195,26,2025-04-30 08:24:48.806012
bike_271,31.204959407366097,121.45227404394326,18,2025-04-30 17:31:23.310871
bike_272,31.217727656288645,121.44462463742038,41,2025-04-28 01:16:52.877823
bike_273,31.208352046325217,121.44973606494648,9,2025-04-27 15:58:20.764552
bike_274,31.217402409038897,121.44331513530568,25,2025-04-29 03:32:40.136340
bike_275,31.211939602122076,121.45370136690165,38,2025-04-30 03:29:12.670585
bike_276,31.222244044152102,121.45300772206014,34,2025-04-29 08:53:07.104651
bike_277,31.214614997267986,121.45299667573369,26,2025-05-03 01:38:03.293675
bike_278,31.21337679900534,121.45473619251717,30,2025-05-03 04:36:54.450842
bike_279,31.21547695971382,121.44592327047633,28,2025-04-29 22:00:33.811943
bike_280,31.218373491045746,121.45567968317249,33,2025-04-30 06:49:42.759551
bike_281,31.205626945270406,121.46578680903482,21,2025-05-03 06:11:21.397083
bike_282,31.218148489694435,121.45663895888266,19,2025-05-02 01:18:48.456394
bike_283,31.217514385340642,121.44784447711226,40,2025-05-02 05:27:49.231580
bike_284,31.215311735179657,121.45544838345242,34,2025-04-26 20:31:46.744300
bike_285,31.215977101399808,121.46111508113489,39,2025-04-29 11:21:44.649471
bike_286,31.21766964335492,121.45662567446377,41,2025-05-01 22:59:29.092068
bike_287,31.210683574086193,121.45925367406039,22,2025-04-28 20:42:24.584014
bike_288,31.217614681176048,121.45077735306602,33,2025-04-27 08:56:17.737474
bike_289,31.217834539673166,121.45827395254493,35,2025-04-30 15:19:45.357703
bike_290,31.217909292726038,121.4570453972436,17,2025-04-27 19:30:24.198552
bike_291,31.219738870946593,121.45427502946006,42,2025-05-02 15:01:46.987550
bike_292,31.21482453995289,121.45023268567756,30,2025-05-01 04:41:39.914314
bike_293,31.209741426660486,121.44287934122104,21,2025-04-30 07:50:39.521276
bike_294,31.223894348655115,121.44790323606054,16,2025-05-01 21:02:36.753669
bike_295,31.216980008539426,121.44759746543296,40,2025-04-30 05:21:28.226547
bike_296,31.223801430181915,121.45600687223394,26,2025-04-29 20:01:08.760588
bike_297,31.2138603182019,121.45099836782275,18,2025-04-30 16:13:21.406352
bike_298,31.208467560316354,121.45621089695904,54,2025-04-29 05:05:48.424117
bike_299,31.21953140495525,121.45397538813646,27,2025-04-26 23:28:58.932544
bike_300,31.218091962226172,121.44732822185465,27,2025-04-30 01:35:54.185281
bike_301,31.21177867649636,121.44617668292253,39,2025-04-29 16:38:44.685104
bike_302,31.21304430651537,121.45568962782899,14,2025-04-28 10:54:41.497467
bike_303,31.213114921751558,121.44316398622101,28,2025-04-28 16:47:49.347159
bike_304,31.215335420187184,121.45162492232971,16,2025-04-28 12:06:18.246147
bike_305,31.21693392061266,121.44641190455481,43,2025-04-29 14:47:12.412541
bike_306,31.215755818743617,121.45172416731222,25,2025-04-26 19:23:20.683870
bike_307,31.22216230655602,121.45301790256171,27,2025-05-01 23:36:04.706061
bike_308,31.218137500659303,121.44408501843998,47,2025-04-27 14:07:41.309263
bike_309,31.21475492346014,121.45485492473436,37,2025-05-01 13:03:26.734937
bike_310,31.212627381183335,121.44962329640752,42,2025-04-28 19:04:35.246146
bike_311,31.217328926886196,121.44718795661444,52,2025-05-02 06:59:54.432393
bike_312,31.209942434857233,121.45426692920364,34,2025-05-01 22:48:45.194142
bike_313,31.222254461765797,121.45921502761048,14,2025-04-30 17:33:09.478913
bike_314,31.21747029569949,121.45065663455722,55,2025-04-26 13:16:36.742611
bike_315,31.218204248649567,121.44723652467235,15,2025-04-28 10:40:06.296567
bike_316,31.206566007451773,121.45394296019491,46,2025-05-01 13:09:57.054102
bike_317,31.210627643163484,121.44754155167519,24,2025-04-29 20:01:22.063696
bike_318,31.215143863449182,121.45226697435794,14,2025-04-27 07:22:17.593080
bike_319,31.218444671254574,121.46168732454711,18,2025-04-28 18:45:03.714733
bike_320,31.209964199071266,121.45946090673317,34,2025-04-30 05:04:13.070928
bike_321,31.216613708171636,121.44769360838879,20,2025-04-29 17:12:20.841668
bike_322,31.2192786075021,121.45054191449223,20,2025-04-28 04:11:21.843921
bike_323,31.222701586950887,121.44502532735035,24,2025-05-02 09:37:08.220375
bike_324,31.209095819446592,121.45716353329888,31,2025-04-29 19:42:14.040583
bike_325,31.21238564337452,121.45222475856743,24,2025-04-27 16:26:43.722460
bike_326,31.217939922504787,121.45463858818242,39,2025-05-03 05:08:59.627096
bike_327,31.21077856788649,121.44664931429006,22,2025-04-26 21:48:57.333868
bike_328,31.214937135838333,121.44191701793346,35,2025-04-30 16:31:55.003710
bike_329,31.2269102553937,121.44544077969572,38,2025-04-29 23:44:05.910776
bike_330,31.21628787396391,121.45150719159172,29,2025-04-30 19:16:48.457342
bike_331,31.21897374460895,121.4540960153654,24,2025-04-30 15:31:27.013120
bike_332,31.21494976589222,121.45378059401683,21,2025-05-01 01:04:48.310627
bike_333,31.216384218655637,121.45195053097419,27,2025-04-27 10:24:23.066359
bike_334,31.17334531128388,121.41733044875184,28,2025-04-29 05:22:27.648485
bike_335,31.169105351500072,121.42010404921008,0,2025-05-02 10:38:02.434777
bike_336,31.172677200608177,121.41440802253476,18,2025-05-03 06:53:18.383914
bike_337,31.17489620502518,121.41772552563779,1,2025-04-29 22:11:34.826591
bike_338,31.16912476906766,121.41275890657647,18,2025-04-28 23:33:57.670112
bike_339,31.17505798023204,121.41104309043995,10,2025-05-03 00:55:05.170760
bike_340,31.174443368995536,121.41638836919091,34,2025-05-03 01:27:11.961715
bike_341,31.169539171536492,121.41540092776407,16,2025-05-02 18:14:56.918738
bike_342,31.168823632887534,121.41551469945286,21,2025-04-29 21:38:30.922132
bike_343,31.1646859235417,121.42201775979186,24,2025-04-30 11:38:34.194660
bike_344,31.183800827017613,121.41062119005349,17,2025-04-30 21:26:28.569826
bike_345,31.17839646321593,121.41587233339925,28,2025-05-03 09:22:17.717507
bike_346,31.176168408677583,121.41457303154192,0,2025-05-03 08:00:01.937210
bike_347,31.176672917804478,121.41347338264026,21,2025-05-01 23:04:15.334037
bike_348,31.16676425953263,121.4173790342997,25,2025-05-02 16:47:20.973273
bike_349,31.162556626632153,121.42775837662865,8,2025-05-01 04:40:45.425650
bike_350,31.17215697411034,121.41659085324595,37,2025-04-30 20:04:32.191377
bike_351,31.16798331477324,121.4060737160026,22,2025-04-26 18:43:43.007835
bike_352,31.17339288598479,121.41411021985226,30,2025-04-28 15:37:05.555992
bike_353,31.16436173424139,121.41542196813033,19,2025-04-29 00:10:29.973059
bike_354,31.176964164688556,121.42116606040561,22,2025-04-29 00:15:51.602458
bike_355,31.169154949499777,121.41829755950793,8,2025-04-28 07:20:09.482910
bike_356,31.172670843658057,121.4275225197832,21,2025-05-03 04:13:25.655949
bike_357,31.173542223752182,121.41518148196612,11,2025-05-01 09:24:24.706670
